date,close,open,high,low,pct_chg
20100101,6.827,6.827,6.827,6.827,0.00%
20100104,6.8285,6.8297,6.8297,6.827,0.02%
20100105,6.8268,6.8283,6.8288,6.8257,-0.02%
20100106,6.8278,6.8277,6.8291,6.8267,0.01%
20100107,6.8281,6.8269,6.8282,6.8258,0.00%
20100108,6.8276,6.8278,6.8285,6.826,-0.01%
20100111,6.8263,6.8269,6.8285,6.8251,-0.02%
20100112,6.827,6.8236,6.8276,6.8236,0.01%
20100113,6.8298,6.8273,6.8298,6.8254,0.04%
20100114,6.827,6.8273,6.8279,6.8259,-0.04%
20100115,6.827,6.8274,6.8274,6.8255,0.00%
20100118,6.8268,6.8277,6.8285,6.8261,0.00%
20100119,6.8278,6.828,6.8288,6.8265,0.01%
20100120,6.827,6.8274,6.8289,6.8266,-0.01%
20100121,6.8269,6.8271,6.8274,6.8258,0.00%
20100122,6.827,6.8267,6.827,6.8255,0.00%
20100125,6.8269,6.827,6.827,6.8258,0.00%
20100126,6.8266,6.8274,6.8275,6.8264,0.00%
20100127,6.8278,6.8271,6.828,6.827,0.02%
20100128,6.8269,6.8262,6.827,6.826,-0.01%
20100129,6.8269,6.827,6.827,6.826,0.00%
20100201,6.827,6.8271,6.8285,6.827,0.00%
20100202,6.8271,6.8266,6.8276,6.8241,0.00%
20100203,6.827,6.8275,6.8282,6.8248,0.00%
20100204,6.8285,6.8265,6.8285,6.8245,0.02%
20100205,6.8285,6.8279,6.829,6.826,0.00%
20100208,6.8266,6.8267,6.8274,6.8258,-0.03%
20100209,6.8268,6.8258,6.827,6.8258,0.00%
20100210,6.8285,6.8272,6.833,6.8261,0.02%
20100211,6.8338,6.8312,6.8356,6.823,0.08%
20100212,6.8334,6.8354,6.8354,6.8296,-0.01%
20100215,6.8334,6.8334,6.8334,6.8334,0.00%
20100216,6.8334,6.8334,6.8334,6.8334,0.00%
20100217,6.8334,6.8334,6.8334,6.8334,0.00%
20100218,6.8331,6.8331,6.8331,6.8331,0.00%
20100219,6.8291,6.83,6.83,6.8291,-0.06%
20100222,6.8274,6.8305,6.8315,6.8265,-0.02%
20100223,6.8277,6.8274,6.833,6.8265,0.00%
20100224,6.827,6.8267,6.8275,6.826,-0.01%
20100225,6.8268,6.8263,6.8275,6.826,0.00%
20100226,6.8261,6.827,6.8275,6.8255,-0.01%
20100301,6.8264,6.8254,6.8269,6.8254,0.00%
20100302,6.8266,6.8264,6.8305,6.8256,0.00%
20100303,6.8258,6.8266,6.8285,6.8251,-0.01%
20100304,6.8263,6.8263,6.8274,6.8256,0.01%
20100305,6.8265,6.8262,6.8274,6.826,0.00%
20100308,6.8263,6.8261,6.8269,6.8255,0.00%
20100309,6.8263,6.8264,6.8278,6.8255,0.00%
20100310,6.8259,6.8263,6.8264,6.8254,-0.01%
20100311,6.8276,6.8263,6.8283,6.826,0.02%
20100312,6.8256,6.8261,6.827,6.8249,-0.03%
20100315,6.8261,6.8249,6.8267,6.8249,0.01%
20100316,6.826,6.8262,6.8269,6.8255,0.00%
20100317,6.826,6.826,6.8265,6.8251,0.00%
20100318,6.8262,6.8261,6.827,6.8255,0.00%
20100319,6.8266,6.8254,6.8266,6.8254,0.01%
20100322,6.8266,6.8254,6.8274,6.8254,0.00%
20100323,6.8263,6.8266,6.8267,6.8258,0.00%
