date,000985.CSI,SPX.GI
20091231,3795.33,1115.1
20100104,3772.497,1132.99
20100105,3806.741,1136.52
20100106,3788.803,1137.14
20100107,3713.539,1141.69
20100108,3735.382,1144.98
20100111,3745.841,1146.98
20100112,3809.633,1136.22
20100113,3716.072,1145.68
20100114,3784.207,1148.46
20100115,3804.152,1136.03
20100118,3839.077,1136.03
20100119,3843.874,1150.23
20100120,3715.206,1138.04
20100121,3730.97,1116.48
20100122,3665.17,1091.76
20100125,3617.689,1096.78
20100126,3510.546,1092.17
20100127,3471.122,1097.5
20100128,3494.778,1084.53
20100129,3504.567,1073.87
20100201,3454.906,1089.19
20100202,3443.356,1103.32
20100203,3521.391,1097.28
20100204,3526.18,1063.11
20100205,3453.973,1066.19
20100208,3452.078,1056.74
20100209,3465.49,1070.52
20100210,3512.458,1068.13
20100211,3513.177,1078.47
20100212,3551.14,1075.51
20100222,3541.111,1108.01
20100223,3529.613,1094.6
20100224,3589.373,1105.24
20100225,3644.415,1102.94
20100226,3638.796,1104.49
20100301,3685.066,1115.71
20100302,3676.661,1118.31
20100303,3711.335,1118.79
20100304,3603.657,1122.97
20100305,3614.571,1138.7
20100308,3647.573,1138.5
20100309,3662.139,1140.45
20100310,3627.759,1145.61
20100311,3617.067,1150.24
20100312,3566.385,1149.99
20100315,3520.148,1150.51
20100316,3547.042,1159.46
20100317,3630.646,1166.21
20100318,3630.381,1165.83
20100319,3658.564,1159.9
20100322,3673.782,1165.81
20100323,3646.575,1174.17
20100324,3653.164,1167.72
20100325,3601.7,1165.73
20100326,3652.179,1166.59
20100329,3720.893,1173.22
20100330,3733.555,1173.27
20100331,3722.858,1169.43
20100401,3776.169,1178.1
20100402,3791.722,1178.1
20100406,3793.427,1189.44
20100407,3783.848,1182.45
20100408,3755.686,1186.44
20100409,3799.513,1194.37
20100412,3792.268,1196.48
20100413,3801.304,1197.3
20100414,3827.271,1210.65
20100415,3804.061,1211.67
20100416,3773.157,1192.13
20100419,3586.866,1197.52
20100420,3602.041,1207.17
20100421,3687.748,1205.94
20100422,3666.337,1208.67
20100423,3646.314,1217.28
20100426,3633.639,1212.05
20100427,3552.642,1183.71
20100428,3536.494,1191.36
20100429,3468.145,1206.78
20100430,3435.975,1186.69
20100504,3400.087,1173.6
20100505,3449.605,1165.9
20100506,3311.329,1128.15
20100507,3248.09,1110.88
20100510,3240.746,1159.73
20100511,3165.43,1155.79
20100512,3149.003,1171.67
20100513,3228.7,1157.44
20100514,3222.386,1135.68
20100517,3038.314,1136.94
20100518,3091.452,1120.8
20100519,3085.787,1115.05
20100520,3038.313,1071.59
20100521,3090.108,1087.69
20100524,3215.119,1073.65
20100525,3165.845,1074.03
20100526,3169.711,1067.95
20100527,3223.431,1103.06
20100528,3221.74,1089.41
20100531,3130.954,1089.41
20100601,3087.956,1070.71
